admin_resource_logs|admin_resource_logs_pkey|CREATE UNIQUE INDEX admin_resource_logs_pkey ON public.admin_resource_logs USING btree (id)
admission_daily_rounds|admission_daily_rounds_pkey|CREATE UNIQUE INDEX admission_daily_rounds_pkey ON public.admission_daily_rounds USING btree (id)
admission_daily_rounds|idx_admission_daily_rounds_tenant_id|CREATE INDEX idx_admission_daily_rounds_tenant_id ON public.admission_daily_rounds USING btree (tenant_id)
admission_daily_rounds|idx_admission_rounds_tenant_id|CREATE INDEX idx_admission_rounds_tenant_id ON public.admission_daily_rounds USING btree (tenant_id)
admissions|admissions_pkey|CREATE UNIQUE INDEX admissions_pkey ON public.admissions USING btree (id)
admissions|idx_admissions_tenant_facility|CREATE INDEX idx_admissions_tenant_facility ON public.admissions USING btree (tenant_id, facility_id)
admissions|idx_admissions_tenant_id|CREATE INDEX idx_admissions_tenant_id ON public.admissions USING btree (tenant_id)
ai_cds_log|ai_cds_log_pkey|CREATE UNIQUE INDEX ai_cds_log_pkey ON public.ai_cds_log USING btree (id)
ai_cds_log|idx_ai_context|CREATE INDEX idx_ai_context ON public.ai_cds_log USING btree (context_type, tenant_id)
ai_cds_log|idx_ai_date|CREATE INDEX idx_ai_date ON public.ai_cds_log USING btree (created_at, tenant_id)
ai_cds_log|idx_ai_patient|CREATE INDEX idx_ai_patient ON public.ai_cds_log USING btree (patient_id, tenant_id)
ai_voice_sessions|ai_voice_sessions_pkey|CREATE UNIQUE INDEX ai_voice_sessions_pkey ON public.ai_voice_sessions USING btree (id)
ai_voice_sessions|idx_voice_patient|CREATE INDEX idx_voice_patient ON public.ai_voice_sessions USING btree (patient_id, tenant_id)
ai_voice_sessions|idx_voice_user|CREATE INDEX idx_voice_user ON public.ai_voice_sessions USING btree (user_id, tenant_id)
ams_flags|ams_flags_pkey|CREATE UNIQUE INDEX ams_flags_pkey ON public.ams_flags USING btree (id)
ams_flags|idx_ams_flags_patient|CREATE INDEX idx_ams_flags_patient ON public.ams_flags USING btree (patient_id)
ams_flags|idx_ams_flags_tenant_facility|CREATE INDEX idx_ams_flags_tenant_facility ON public.ams_flags USING btree (tenant_id, facility_id)
ams_flags|idx_ams_flags_tenant_status|CREATE INDEX idx_ams_flags_tenant_status ON public.ams_flags USING btree (tenant_id, status)
appointments|appointments_pkey|CREATE UNIQUE INDEX appointments_pkey ON public.appointments USING btree (id)
appointments|idx_appts_tenant_branch|CREATE INDEX idx_appts_tenant_branch ON public.appointments USING btree (tenant_id, branch_id, appt_date)
approvals|approvals_pkey|CREATE UNIQUE INDEX approvals_pkey ON public.approvals USING btree (id)
approvals|idx_approvals_tenant_id|CREATE INDEX idx_approvals_tenant_id ON public.approvals USING btree (tenant_id)
audiogram_records|audiogram_records_pkey|CREATE UNIQUE INDEX audiogram_records_pkey ON public.audiogram_records USING btree (id)
audiogram_records|idx_audiogram_records_patient|CREATE INDEX idx_audiogram_records_patient ON public.audiogram_records USING btree (tenant_id, patient_id)
